CourseNumber,Section,Title,MinCredit,MaxCredit,Description
ENGL& 101,S   ,English Composition I,-1,5.0,"(C)  Writing clear, unified, coherent, and well-developed essays of increasing complexity with an emphasis on critical thinking skills.  Essays may be about literary or nonliterary texts, or they may rely upon such texts as points of departure for discussion.  (Specific sections marked ENGL& 101D fulfill the diversity requirement for associate degrees.) Assesses Core Learning Outcomes 2, 3."
ENGL& 102,A   ,Composition II,-1,5.0,"(C)  Writing single-source and multi-source essays with an emphasis on audience, voice, and current research techniques and documentation.  (Specific sections marked ENGL 102D fulfill the diversity requirement for associate degrees.) Assesses Core Learning Outcomes 2, 3, 5."
ENGL& 102,C   ,Composition II,-1,5.0,"(C)  Writing single-source and multi-source essays with an emphasis on audience, voice, and current research techniques and documentation.  (Specific sections marked ENGL 102D fulfill the diversity requirement for associate degrees.) Assesses Core Learning Outcomes 2, 3, 5."
ENGR 101,A   ,College Success in Engineering and Computer Science,-1,2.0,"(TE) Orientation to academic and career opportunities in engineering and computer science.  Introduction to functions, responsibilities and characteristics of professionals in engineering, computer science and related disciplines.  Includes presentations by guest speakers from industry and universities sampling the breadth of educational and professional options.  Development of academic and personal skills and attitudes that promote success in college study.  Satisfies COLL 101 requirement for new degree seeking students. Assesses Core Learning Outcome 1."
ENGR 101,C   ,College Success in Engineering and Computer Science,-1,2.0,"(TE) Orientation to academic and career opportunities in engineering and computer science.  Introduction to functions, responsibilities and characteristics of professionals in engineering, computer science and related disciplines.  Includes presentations by guest speakers from industry and universities sampling the breadth of educational and professional options.  Development of academic and personal skills and attitudes that promote success in college study.  Satisfies COLL 101 requirement for new degree seeking students. Assesses Core Learning Outcome 1."
ENGR 111,A   ,Introduction to Engineering I: Modeling and Analysis,-1,5.0,"(NS) A project based introduction to engineering analysis, problem solving, and mathematical modeling.  Working in teams, students will complete a series of hands-on projects designed to emphasize a systematic, analytical problem solving approach and explore the engineering disciplines at a technical level. Topics include introductory engineering concepts; engineering for sustainability; teamwork skills; the application of mathematics, physics, and chemistry in engineering; unit systems; and an introduction to spreadsheet applications. Assesses Core Learning Outcomes 1, 2, 3, 5. Lab fee: $31.25."
ENGR 121,A   ,Introduction to Engineering 2: Computing and Design,-1,5.0,"(TE) Second course in the Introduction to Engineering sequence.  Explores the role of creativity, teamwork, and communication in promoting innovative design.  Includes an introduction to computing, microcontroller programming and basic parameter optimization.  Students develop knowledge and skills in all areas through a series of hands-on design projects. Assesses Core Learning Outcomes 1, 2, 3, 6. Lab fee: $126.50."
ENGR 205,A   ,Electric Circuits Lab,-1,1.5,"(NS-L) Laboratory applications of electrical circuits principles and instrumentation. Measurement of transient and steady-state responses of electrical circuits. Assesses Core Learning Outcomes 2, 3, 6. Lab fee: $19.25."
ENGR 298,A   ,Interdisciplinary Design Project,-1,2.0,"(TE)  Design projects open to all students in design and manufacturing related fields.  Class structure guides interdisciplinary student teams through a process of conceptualizing a project, developing and documenting a detailed design, fabricating a prototype, testing, analysis, and reporting.  All students are engaged in all aspects of their project regardless of their home program or discipline.  Design projects may be oriented toward regional design competitions.  Specific project requirements are tailored to students educational and practical experience levels.  Course may be repeated for credit, enabling students to pursue projects one to three quarters in duration.  Lab section provides access to college fabrication facilities and is optional."
ENGR& 114,S   ,Engineering Graphics,-1,4.0,"(NS)  Methods of depicting three-dimensional objects and communicating design information.  Emphasis on using parametric solid modeling software as a design tool.   Freehand sketching is used to develop visualization skills and as an instrument for design conceptualization and communication. Assesses Core Learning Outcomes 2, 3, 6.  Computer lab fee: $45.55. Engineering lab fee: $31.25."
ENGR& 204,A   ,Electric Circuits,-1,5.0,"(TE) Introduction to basic circuit and systems concepts. Development of mathematical models of components including resistors, sources, capacitors, inductors, operational amplifiers and transistors. Solution of first and second order linear differential equations associated with basic circuit forms. Steady state sinusoidal excitation and phasors. Assesses Core Learning Outcomes 2, 6. Lab fee: $19.25."
ENVS& 100,OL1 ,Survey of Environmental Science: Sustaining Our Earth,-1,5.0,"(NS) Biological and ecological principles and how they pertain to current issues of population growth and control, diminished food supply, water, air and noise pollution, and similar environmental issues. Credit may not be earned in both ENVS& 100 and ENVS& 101. Assesses Core Learning Outcomes 1, 2, 3."
GEOG 102D,OL  ,World Regional Geography,-1,5.0,"(SS, D) Globalization and diversity of the major geographical regions of the world. A study of cultural coherence and diversity, population and settlement, geopolitical framework, environmental geography, and economic and social development of each region. Major regions of study include former Soviet Union, Europe, Asia (east, southeast, south and southwest), Africa, North and South America. Assesses Core Learning Outcomes 1, 2, 3, 4, 5."
GRAPH 120,OL  ,History of Graphic Design,-1,5.0,"(TE) Survey of graphic design history through slide lectures and integrated design projects.  Provides an overview of the origins of visual and written communication, the development of graphic design and its evolution through international, social, political, and technological developments since 1450.  Emphasis on printed work from 1880 to 1990 and new media design to the present day. Assesses Core Learning Outcome 6."
GRAPH 250,A   ,Graphic Arts Internship,-1,5.0,"Supervised work experience as an intern.  May be with a qualified employer or in a project with a private or public agency.  Students must have completed most of the required coursework and must obtain a recommendation for internship from their instructor.  It is the students responsibility to obtain the internship.  Performance will be evaluated by the college instructor and the internship supervisor.  Internship can apply once to AFA degree electives.  May be repeated two times for credit. Assesses Core Learning Outcomes 3, 6."
GS 101D,OL  ,Introduction to Global Studies,-1,5.0,"(SS, D) Introduction to contemporary global issues, drawing on the integrated knowledge and methodologies of multiple disciplines.  Topics include population growth, food and water insecurities, environmental impacts, patterns of consumption, the fate of indigenous peoples, global health, and civic activism. Writing assignments represent a significant component of coursework. Assesses Core Learning Outcomes 2, 3, 4."
H DEV,OL1 ,110 Career and Life Planning,-1,3.0,"Examination of personal career possibilities in the world of work.  Activities focus on self-assessment through testing, values clarification, occupational surveys, and identification of strengths.  Resume writing and job interviewing skills may be covered.  Class composition and need determine which areas instructor emphasizes. Assesses Core Learning Outcomes 1, 2, 3, 5, 6. career testing        : $31.90"
HIST 103D,HY  ,World Civilization,-1,5.0,"(H,SS,D) General introduction to world history, emphasizing understanding and respect for diverse cultures and tracing the broad themes of historical change from a variety of perspectives, including social organization, art, literature, and spiritual values. Follow the appearance and evolution of the major religious traditions of the world, witness the construction, decay, and collapse of major civilizations, and inquire about the meaning of life in the company of the great teachers of the past, including Confucius, the Buddha, Socrates, Ibn Khaldun, St. Thomas Aquinas, and many others. Assesses Core Learning Outcomes 2, 5."
HIST& 146,HY  ,US History I,-1,5.0,"(H,SS)  First of a three-part survey of American history.  Discovery and colonization of the Americas, growth of a new culture, independence, organization of the American union, growth and expansion of American nationalism, Jeffersonian and Jacksonian democracy. Assesses Core Learning Outcomes 1, 2, 3."
HLTH 080,OL2 ,HIV/AIDS Training,-1,0.7,"Satisfies the mandatory seven-hour HIV/AIDS educational requirement of the State of Washington for health care professionals. Topics include transmission, disease process, and current treatment options for HIV/AIDS. Testing and counseling guidelines and requirements are also discussed. Additionally, legal, ethical and psychosocial issues are addressed. Assesses Core Learning Outcome 4."
HLTH 102,A   ,Applied A & P,-1,5.0,"Emphasizes the relationship between the structures of the human body, related functions, and clinical applications in both healthy and unhealthy states. Concepts of homeostasis will be explored, along with the consequences to the human body when homeostasis is disrupted. Familiarity with medical terminology is desired. No prior knowledge of biology or chemistry is required. Assesses Core Learning Outcome 1. Lab fee: $31.30."
HLTH 107,OL  ,Administrative Skills,-1,3.0,"Provides the student with opportunity to practice computer applications as they apply to the medical office. The student will use the fundamental writing skills to format letters, memos, and reports. Additionally, the student will demonstrate correct proofreading skills, will learn use of additional office equipment, including fax machines and multi-line phones, and will use correct medical charting methods to document medical information accurately and concisely. Assesses Core Learning Outcomes 1, 3, 5, 6."
HLTH 108,OL  ,Administrative Skills,-1,4.0,"Covers all aspects of medical practice finances, including bookkeeping systems, third-party billing, coding systems, accounting and banking procedures, and employee payroll. Students will gain knowledge and skills related to managing medical practice finances and will have practical experience using computer software to perform the management functions integral to an ambulatory care facility. Assesses Core Learning Outcomes 1, 2, 3, 5."
HLTH 192,HY  ,Clinical Skills,-1,5.0,"This course is designed to develop the skills needed to perform duties of a medical assistant in the laboratory of a general outpatient medical practice.  The student will learn the concepts of laboratory safety, quality assurance, microbiological features of various pathogenic and nonpathogenic microbes, transmission based precautions, laboratory techniques for specimen collection, specimen handling and processing. Students will acquire skills and techniques utilized to support and enhance the physicians diagnostic procedures and treatment options. Students will develop their critical thinking skills by participating in simulated laboratory exercises, simulated patient care via written formats and simulated laboratory results evaluation and processing. Instructor permission required to repeat course. Assesses Core Learning Outcomes 1, 2, 3, 6. Lab fee: $83.85."
HLTH 251,S   ,Medical Assisting Clinical Practicum,-1,6.0,"Provides students a safe, supervised clinical work experience, in an outpatient ambulatory setting, in which to apply didactic theories. The externship experience provides students an opportunity to put into practice their administrative and clinical skills, to foster professional growth and self-confidence in the role of a medical assistant. Students are also provided an opportunity to discuss professional concerns, events, and activities that pertain to medical assisting. Weekly seminar topics will be chosen. 160 clinical hours.  Instructor permission required to repeat course. Assesses Core Learning Outcomes 1, 2, 5, 6. Malpractice insurance fee: $20.00."
IEP 051,A   ,American Culture,-1,3.0,"This class is for non-native speakers of English who wish to develop familiarity with American culture.  This class is contextualized and integrates learning English as a Second Language with themes (including but not limited to the US college system, citizenship, contemporary issues in the US, and current events) that will be rotated quarterly and determined by student interest. *This course is only for students admitted through the International Programs office."
IEP 051,B   ,American Culture,-1,3.0,"This class is for non-native speakers of English who wish to develop familiarity with American culture.  This class is contextualized and integrates learning English as a Second Language with themes (including but not limited to the US college system, citizenship, contemporary issues in the US, and current events) that will be rotated quarterly and determined by student interest. *This course is only for students admitted through the International Programs office."
IEP 063,A   ,Intensive Listening and Speaking 1,-1,3.0,"Designed to prepare non-native English speakers in gaining confidence with speaking and listening in a variety of situations with an emphasis on vocabulary and idiomatic expressions.  Only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 3."
IEP 065,A   ,Intensive Listening and Speaking 2,-1,3.0,"Designed to prepare non-native English speakers to utilize speaking and listening in a variety of situations with an emphasis on vocabulary and idiomatic expressions with increased fluency and accuracy. Only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 2, 3."
IEP 065,B   ,Intensive Listening and Speaking 2,-1,3.0,"Designed to prepare non-native English speakers to utilize speaking and listening in a variety of situations with an emphasis on vocabulary and idiomatic expressions with increased fluency and accuracy. Only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 2, 3."
IEP 073,A   ,Intensive Grammar 1,-1,4.0,"Basic English grammar for non-native speakers with an emphasis on simple and progressive present, past, and future verb tenses, use of pronouns, singular, plural, and count nouns. Parts of speech, capitalization, and punctuation are also addressed. Only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 3."
IEP 075,A   ,Intensive Grammar 2,-1,4.0,"Intermediate English grammar for non-native speakers with an emphasis on verb tenses, sentence structure, and error correction. Only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 3."
IEP 083,A   ,Intensive Reading 1,-1,4.0,"Designed to improve academic reading skills for non-native speakers of English.  This class focuses on mastery of reading vital information for daily living skills in our community, using resources to build skills, and basic reading strategies. Only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 3."
IEP 085,B   ,Intensive Reading 2,-1,4.0,"Designed to improve academic reading skills for non-native speakers of English.  This class focuses on using reading strategies for successful mastery of comprehension for academic reading, as well as improvement of critical thinking skills. Only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 2, 3."
IEP 093,A   ,Intensive Writing 1,-1,4.0,"Academic writing skills for non-native speakers of English.  Basic writing skills for the successful mastery of complete simple sentences with correct punctuation, utilization of descriptive vocabulary, and the writing process. *This course is only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 3, 6."
IEP 095,A   ,Intensive Writing 2,-1,4.0,"Development of academic writing skills for non-native speakers of English, including complete simple sentences and improvement towards creating compound and complex sentences within a well-structured basic paragraph. *This course is only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 3, 6."
IEP 095,B   ,Intensive Writing 2,-1,4.0,"Development of academic writing skills for non-native speakers of English, including complete simple sentences and improvement towards creating compound and complex sentences within a well-structured basic paragraph. *This course is only for students admitted through the International Programs office. Assesses Core Learning Outcomes 1, 3, 6."
INFO 200N,CA  ,Netbook Quarterly Rental,-1,0.0,Lenovo X131e netbook quarterly rental.  Windows 7 with Office 2010. Student login with ability to save to hard drive and network drive (when on campus). Use course item number to register online or at the Enrollment Services Office. There will be a non-credit netbook use fee of $20. After registering pick up netbook in the library starting the first Thursday of the quarter.
IT 101,S   ,Information Technology Foundations,-1,5.0,"Orientation to academic and career opportunities in the Information Technology field. Topics include computer terminology, hardware, operating systems, data management, security concepts and ethics. Students explore Information Technology career options and prepare for internships in the field. Each student creates a personal academic pathway. Learning resources and continuing education opportunities are introduced. This class offers the CompTIA IT Fundamentals industry certification. Assesses Core Learning Outcomes 1, 6. Lab fee: $45.55; Certification fee: $60."
IT 108,HY  ,Operating Systems Fundamentals,-1,5.0,"Introductory course focusing on the fundamentals of computer operating systems and the user interface. This course includes hands-on experience in both Microsoft Windows and Linux, with a strong emphasis on the Windows operating system.  Operating system topics include: configuration, installation and upgrades, virtualization, application management, file management, device drivers, and maintenance tasks. Students passing the final exam for this course will receive a Microsoft MTA certification demonstrating competency in the Windows Operating System. Assesses Core Learning Outcome 6. Lab fee: $45.55; Certification fee: $60."
IT 111,S   ,Networking Fundamentals,-1,5.0,"Introductory course focusing on the fundamentals of computer networking. This course includes hands-on experience in Windows networking.  Networking topics include: Network infrastructure, wireless, network hardware such as cabling, switches, and routers, and protocols, and TCP/IP tools. Students passing the final exam for this course will receive a Microsoft MTA certification demonstrating competency in the fundamentals of networking. Lab fee: $45.55; Certification fee: $60."
IT 117,HY  ,CCNA 1: Introduction to Networking,-1,5.0,"This course introduces the architecture, structure, functions, components, and models of the Internet and other computer networks. The principles and structure of IP addressing and the fundamentals of Ethernet concepts, media, and operations are introduced. By the end of the course, students will understand the OSI Reference Model and will be able to build simple LANs, perform basic configurations for routers and switches, and implement IP addressing schemes. Lab fee: $45.55; Certification fee: $60."
IT 122,HY  ,CCNA 2: Networking Routing and Switching Essentials,-1,5.0,"Presents the concepts and configuration skills involved in designing, installing, and maintaining a Cisco switched Local Area Network (LAN).  Layers 1 and 2 of the OSI model will be emphasized.  Lab work will focus on using hubs and switches to create a segmented network.  Cisco Internet Operating System Command Line configurations will be used extensively. Lab fee: $45.55; Certification fee: $60."
IT 161,S   ,Computer Hardware and Technical Support,-1,4.0,"This course covers the fundamentals of computing device hardware and technical support, in alignment with the CompTIA A+  220-901 industry certification objectives. Students receive hands-on experience with computer hardware assembly and repair including laptop and printer troubleshooting and Windows networking.  Students will also receive instruction on operational procedures, customer service, and documentation. Assesses Core Learning Outcomes 5, 6. Lab fee: $45.55; Certification fee: $60."
IT 162,S   ,Computing Operation and Troubleshooting,-1,4.0,"This course covers computing operation and advanced troubleshooting of hardware and operating systems in alignment with the second of two CompTIA A+ industry certification exams. Students receive hands-on experience with operating system installation and configuration, computer security principles, and mobile device operation. Assesses Core Learning Outcomes 5, 6. Lab fee: $45.55; Certification fee: $60."
IT 210,HY  ,Network Application Support,-1,5.0,"Presents the Microsoft Office suite and other common workplace applications from both user and administrator perspectives. Lab exercises will emphasize typical support issues such as communication methods, deployment/upgrade automation, remote administration and the way these factors affect customer satisfaction. Assesses Core Learning Outcomes 1, 2, 5, 6. Lab fee: $45.55; Certification fee: $60."
IT 217,HY  ,CCNA 3: Scaling Networks,-1,5.0,"This course describes the architecture, components, and operations of routers and switches in larger and more complex networks. Students learn how to configure routers and switches for advanced functionality. By the end of this course, students will be able to configure and troubleshoot routers and switches and resolve common issues with OSPF, EIGRP, and STP in both IPv4 and IPv6 networks. Students will also develop the knowledge and skills needed to implement a WLAN in a small-to-medium network. Assesses Core Learning Outcomes 1, 2, 6. Lab fee: $45.55; Certification fee: $60."
IT 222,HY  ,CCNA 4: Connecting Networks,-1,5.0,"This course provides hands-on experience with the Wide Area Networking (WAN) technologies and network services required in a complex network. Students learn the selection criteria of network devices and WAN technologies to meet network requirements. Students learn how to configure and troubleshoot network devices and resolve common issues with data link protocols. Students will also develop the knowledge and skills needed to implement secured virtual private network (VPN) operations in a complex network. This is the final course in the CCNA series. Students completing this course will be prepared to pass the Cisco CCNA certification exam. Assesses Core Learning Outcomes 1, 2, 6. Lab fee: $45.55; Certification fee: $60."
IT 251,S   ,Computer Careers Internship,-1,5.0,"Provides students with a safe, supervised work environment to apply their academic skills.  This allows the student to put into practice administrative and technical skills, to foster professional growth, and to gain self-confidence directly associated with certification and/or the degree focus of the student. Assesses Core Learning Outcome 6."
IT 252,S   ,Advanced Computer Careers Internship,-1,5.0,"On-the-job work experience in occupations directly related to students career choice. This advanced internship reinforces the students expertise gained in the Computer Systems courses. Internships are arranged with private industry, government agencies, and/or nonprofit organizations. Internships may be paid or unpaid as available. Assesses Core Learning Outcome 6."
IT 280,HY  ,Ethical Hacking and Countermeasures,-1,5.0,"Presents ethical hacking methodology that can be used in a penetration testing or ethical hacking situation. This course prepares students for the EC-Council ANSI accredited Certified Ethical Hacker credential 312-50. The lab intensive environment gives each student in-depth knowledge and practical experience with the current essential security systems. Students will begin by understanding how perimeter defenses work and then will be led into scanning and attacking lab networks; no real network is harmed. Students then learn how intruders escalate privileges and what steps can be taken to secure a system. Students will also learn about Intrusion Detection, Policy Creation, Social Engineering, Buffer Overflows and Penetration Testing. Assesses Core Learning Outcomes 2, 3, 6."
JAPN& 121,A   ,Japanese I,-1,5.0,"(H)  Beginning sequence of courses to practice functional elements of Japanese pronunciation, grammar, vocabulary, and sentence patterns in the context of practical conversational Japanese with correct understanding of cultural and social background.  The Japanese writing system is taught from early stage to provide total experience of the language. Assesses Core Learning Outcomes 1, 3, 4."
JOURN 250,A   ,Journalism Internship,-1,5.0,Supervised work experience as an intern.  May be with a qualified employer or in a project with a private or public agency.  Students must have completed most of the required coursework and must obtain a recommendation for internship from their instructor.  It is the students responsibility to obtain the internship.  Performance will be evaluated by the college instructor and the internship supervisor.  Internship can apply once to AFA degree electives.  May be repeated two times for credit.
MATH 078,A   ,Review of Arithmetic and Algebra,-1,2.0,"Self-paced review of arithmetic and algebra concepts in a computer-mediated lab setting. Students work with an instructor to complete assignments from other math classes in which they are enrolled, or design an individual plan to include specific skills. Assesses Core Learning Outcome 1."
MATH 078,S   ,Review of Arithmetic and Algebra,-1,2.0,"Self-paced review of arithmetic and algebra concepts in a computer-mediated lab setting. Students work with an instructor to complete assignments from other math classes in which they are enrolled, or design an individual plan to include specific skills. Assesses Core Learning Outcome 1."
MATH 079,A   ,Self,-1,5.0,"Self-paced review of arithmetic and algebra concepts in a computer-mediated lab setting.  Intended as a review of arithmetic prior to enrolling in MATH 080 and/or a review of algebra concepts in order to improve performance on math placement tests.  The pre-requisite knowledge and skills for entering MATH 080, 091, 092, or 098.  Upon demonstrating this knowledge, students are directly placed into MATH 080, 091, 092, or 098 without the need to retake a placement test. Topics concerning anxiety, study skills, and math course advising are also covered. Assesses Core Learning Outcome 1."
MATH 079,MH  ,Self,-1,5.0,"Self-paced review of arithmetic and algebra concepts in a computer-mediated lab setting.  Intended as a review of arithmetic prior to enrolling in MATH 080 and/or a review of algebra concepts in order to improve performance on math placement tests.  The pre-requisite knowledge and skills for entering MATH 080, 091, 092, or 098.  Upon demonstrating this knowledge, students are directly placed into MATH 080, 091, 092, or 098 without the need to retake a placement test. Topics concerning anxiety, study skills, and math course advising are also covered. Assesses Core Learning Outcome 1."
MATH 079,S   ,Self,-1,5.0,"Self-paced review of arithmetic and algebra concepts in a computer-mediated lab setting.  Intended as a review of arithmetic prior to enrolling in MATH 080 and/or a review of algebra concepts in order to improve performance on math placement tests.  The pre-requisite knowledge and skills for entering MATH 080, 091, 092, or 098.  Upon demonstrating this knowledge, students are directly placed into MATH 080, 091, 092, or 098 without the need to retake a placement test. Topics concerning anxiety, study skills, and math course advising are also covered. Assesses Core Learning Outcome 1."
MATH 080,A   ,Introduction to Algebra,-1,5.0,"Fractions, decimals, proportions and percents; U.S. Customary and metric systems of measurement; plane and solid geometric figures; signed rational numbers; exponents, scientific notation and radicals; order of operations; evaluation and simplification of algebraic expressions; solving algebraic equations."
MATH 080,B   ,Introduction to Algebra,-1,5.0,"Fractions, decimals, proportions and percents; U.S. Customary and metric systems of measurement; plane and solid geometric figures; signed rational numbers; exponents, scientific notation and radicals; order of operations; evaluation and simplification of algebraic expressions; solving algebraic equations."
MATH 080,OL  ,Introduction to Algebra,-1,5.0,"Fractions, decimals, proportions and percents; U.S. Customary and metric systems of measurement; plane and solid geometric figures; signed rational numbers; exponents, scientific notation and radicals; order of operations; evaluation and simplification of algebraic expressions; solving algebraic equations."
MATH 091,A   ,Elementary and Intermediate Algebra I,-1,5.0,"First quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who need to review and extend their algebra skills.  Topics include linear equations and inequalities with applications, graphing lines, systems of linear equations and applications, absolute value equations and inequalities, line equations, integer exponents, polynomial operations and factoring, and solving polynomial equations by factoring. Assesses Core Learning Outcome 2."
MATH 091,AC1 ,Elementary and Intermediate Algebra I,-1,5.0,"First quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who need to review and extend their algebra skills.  Topics include linear equations and inequalities with applications, graphing lines, systems of linear equations and applications, absolute value equations and inequalities, line equations, integer exponents, polynomial operations and factoring, and solving polynomial equations by factoring. Assesses Core Learning Outcome 2."
MATH 091,B   ,Elementary and Intermediate Algebra I,-1,5.0,"First quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who need to review and extend their algebra skills.  Topics include linear equations and inequalities with applications, graphing lines, systems of linear equations and applications, absolute value equations and inequalities, line equations, integer exponents, polynomial operations and factoring, and solving polynomial equations by factoring. Assesses Core Learning Outcome 2."
MATH 091,HY  ,Elementary and Intermediate Algebra I,-1,5.0,"First quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who need to review and extend their algebra skills.  Topics include linear equations and inequalities with applications, graphing lines, systems of linear equations and applications, absolute value equations and inequalities, line equations, integer exponents, polynomial operations and factoring, and solving polynomial equations by factoring. Assesses Core Learning Outcome 2."
MATH 091,S   ,Elementary and Intermediate Algebra I,-1,5.0,"First quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who need to review and extend their algebra skills.  Topics include linear equations and inequalities with applications, graphing lines, systems of linear equations and applications, absolute value equations and inequalities, line equations, integer exponents, polynomial operations and factoring, and solving polynomial equations by factoring. Assesses Core Learning Outcome 2."
MATH 092,AC2 ,Elementary and Intermediate Algebra II,-1,5.0,"Second quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who have completed beginning algebra and need to review and extend their skills.  Topics include: rational expressions with equations and applications, functional notation, fractional exponents, radical expressions, radical equations with applications, complex numbers, quadratic equations and equations in quadratic form with applications, quadratic functions and graphs, exponential and logarithmic expressions, exponential and logarithmic equations with applications. Assesses Core Learning Outcome 2."
MATH 092,B   ,Elementary and Intermediate Algebra II,-1,5.0,"Second quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who have completed beginning algebra and need to review and extend their skills.  Topics include: rational expressions with equations and applications, functional notation, fractional exponents, radical expressions, radical equations with applications, complex numbers, quadratic equations and equations in quadratic form with applications, quadratic functions and graphs, exponential and logarithmic expressions, exponential and logarithmic equations with applications. Assesses Core Learning Outcome 2."
MATH 092,MH  ,Elementary and Intermediate Algebra II,-1,5.0,"Second quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who have completed beginning algebra and need to review and extend their skills.  Topics include: rational expressions with equations and applications, functional notation, fractional exponents, radical expressions, radical equations with applications, complex numbers, quadratic equations and equations in quadratic form with applications, quadratic functions and graphs, exponential and logarithmic expressions, exponential and logarithmic equations with applications. Assesses Core Learning Outcome 2."
MATH 092,OL2 ,Elementary and Intermediate Algebra II,-1,5.0,"Second quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who have completed beginning algebra and need to review and extend their skills.  Topics include: rational expressions with equations and applications, functional notation, fractional exponents, radical expressions, radical equations with applications, complex numbers, quadratic equations and equations in quadratic form with applications, quadratic functions and graphs, exponential and logarithmic expressions, exponential and logarithmic equations with applications. Assesses Core Learning Outcome 2."
MATH 092,S   ,Elementary and Intermediate Algebra II,-1,5.0,"Second quarter of a two quarter sequence covering topics from beginning and intermediate algebra for qualified students who have completed beginning algebra and need to review and extend their skills.  Topics include: rational expressions with equations and applications, functional notation, fractional exponents, radical expressions, radical equations with applications, complex numbers, quadratic equations and equations in quadratic form with applications, quadratic functions and graphs, exponential and logarithmic expressions, exponential and logarithmic equations with applications. Assesses Core Learning Outcome 2."
MATH 138,A   ,Applied College Algebra,-1,5.0,"(Q,NS)  Equations and inequalities; graphs and functions; linear, quadratic, polynomial, rational, exponential, and logarithmic functions; 
solving equations and systems of equations; matrices; linear programming and simplex method; mathematics of finance. For students of
business, social science or some life sciences (Not intended for math, science, or engineering majors.)  Graphing calculator required. Assesses Core Learning Outcomes 2, 6."
MATH& 107,A   ,Math in Society,-1,5.0,"(Q,NS) College-level coverage of practical applications of mathematics methods to areas of management, social sciences, biology and other fields.  Topics include discrete mathematics, graph theory, probability and statistics in everyday life.  For students not preparing for calculus or the sciences. Assesses Core Learning Outcome 2."
MATH& 141,A   ,Precalculus I: College Algebra,-1,5.0,"(Q,NS)  A college level algebra course for all students needing general preparation beyond intermediate algebra.  The first of a two-course sequence for students intending to take calculus beginning with MATH& 151.  Principles of functions and graphs; theory of polynomial equations; graphs of polynomial and rational functions; exponential and logarithmic functions and applications; conics, foci and applications; non-linear systems; determinants and Cramers Rule. The online version of this class requires on-campus orientation and exams; dates to be scheduled. Out-of-area students can arrange for test proctors. Assesses Core Learning Outcome 2."
MATH& 141,S   ,Precalculus I: College Algebra,-1,5.0,"(Q,NS)  A college level algebra course for all students needing general preparation beyond intermediate algebra.  The first of a two-course sequence for students intending to take calculus beginning with MATH& 151.  Principles of functions and graphs; theory of polynomial equations; graphs of polynomial and rational functions; exponential and logarithmic functions and applications; conics, foci and applications; non-linear systems; determinants and Cramers Rule. The online version of this class requires on-campus orientation and exams; dates to be scheduled. Out-of-area students can arrange for test proctors. Assesses Core Learning Outcome 2."
MATH& 142,S   ,Precalculus II: Trigonometry,-1,5.0,"(Q,NS)  A college level trigonometry course.  The second course in a two-course sequence for students who intend to take calculus beginning with MATH& 151.  Right triangle trigonometry and applications; general angle and real number trigonometry and applications; identities, inverses and trigonometric equations; introduction to polar coordinates and parametric equations; vectors and applications. Assesses Core Learning Outcome 2."
MATH& 146,A   ,Introduction to Statistics,-1,5.0,"(Q,NS)  Introductory course.  Analysis of statistical studies, descriptive methods, probability, sampling distributions, hypothesis testing, confidence intervals, correlation.  For students in any major. Assesses Core Learning Outcome 2."
MATH& 146,B   ,Introduction to Statistics,-1,5.0,"(Q,NS)  Introductory course.  Analysis of statistical studies, descriptive methods, probability, sampling distributions, hypothesis testing, confidence intervals, correlation.  For students in any major. Assesses Core Learning Outcome 2."
MATH& 148,A   ,Business Calculus,-1,5.0,"(Q,NS) One-quarter short course in calculus. Limits and continuity, differentiation and applications, exponential and logarithmic functions, integration and applications, functions of several variables. For students in business, biological sciences, social sciences, or disciplines requiring only one introductory quarter of calculus. Students who need more than one quarter should enroll in MATH& 151. Assesses Core Learning Outcome 2."
MATH& 151,B   ,Calculus I,-1,5.0,"(Q,NS) First course in calculus sequence. Limits, continuity, differentiation and antidifferentiation of algebraic and transcendental functions with applications. For majors in engineering, science, mathematics and others requiring more than one quarter of calculus. Assesses Core Learning Outcome 2."
